fiber_node;address;coordinate
FOT012;GRIYA CITRA ALAM ASRI;-6.889921,109.150869
FOT013;GRAND SAPHIRA PACUL;-6.89552,109.14922
FSU033;TAWANGMAS AREA (7);-6.967717,110.39778
FSU032;TAWANGMAS AREA (6);-6.968402,110.397839
FSU031;TAWANGMAS AREA (5);-6.969687,110.397962
FSK045;JABUNGAN AREA (1);-7.071556,110.441162
FOT007;PEKAUMAN KULON AREA;-6.885185,109.132902
FOT008;GRIYA MEJASEM BARU (1);-6.875411,109.150663
FOT015;PANGGUNG AREA;-6.863092,109.146475
FOT010;GRIYA MEJASEM BARU (3);-6.873753,109.151474
FOT014;GRIYA MEJASEM BARU (4);-6.872867,109.154588
FOT016;SLEROK AREA;-6.882355,109.143807
FSK053;SRONDOL KULON AREA (4);-7.044162,110.414158
FPD051;PEDURUNGAN KIDUL AREA (6);-7.018644,110.473916
FPD052;PEDURUNGAN KIDUL AREA (7);-7.018002,110.472714
FOT017;GRIYA MEJASEM BARU (5);-6.876076,109.149633
FOT018;GRIYA MEJASEM BARU (6);-6.876622,109.149417
FOT019;GRIYA MEJASEM BARU (7);-6.877808,109.149656
FOT009;GRIYA MEJASEM BARU (2);-6.874281,109.150962
FOT021;MUTIARA VANTAVIN 1;-6.894316,109.151068
FWS162;BONGSARI AREA (3);-6.996295705078489,110.394731597
FWS163;BONGSARI AREA (4);-6.99597997353732,110.395714783
FWS164;BONGSARI AREA (5);-6.997117844553702,110.39760678
FWS165;BONGSARI AREA (6);-6.996426,110.396909
FPD068;PEDURUNGAN KIDUL AREA (8);-7.019543,110.476266
FPD069;TLOGOMULYO AREA (10);-6.991337,110.480473
FPD070;TLOGOMULYO AREA (11);-6.992662,110.479878
FPD072;TLOGOMULYO AREA (13);-6.990412,110.473099
FPD076;TLOGOMULYO AREA (16);-6.997353,110.477963
FPD071;TLOGOMULYO AREA (12);-6.993548,110.481647
FPD075;TLOGOMULYO AREA (15);-6.995082,110.476357
FPD034;MUKTIHARJO KIDUL (2);-6.975958412200976,110.457705751
FPD035;MUKTIHARJO KIDUL (3);-6.977032,110.454295
FPD033;MUKTIHARJO KIDUL (1);-6.974894,110.458303
FSK052;PUDAK PAYUNG AREA (8);-7.094261,110.420151
FOT022;PERUM MEJASEM (1);-6.876611,109.153011
FOT023;PERUM MEJASEM (2);-6.874353,109.154494
FPD078;MUKTIHARJO KIDUL (4);-6.973681,110.456998
FOT027;GRIYA SANTIKA;-6.887513,109.152747
FWS166;PANDEAN LAMPER AREA (4);-6.996196,110.443841
FWS167;PANDEAN LAMPER AREA (5);-7.000379,110.443407
FPD080;PEDURUNGAN TENGAH AREA (4);-7.006255,110.472541
FSK057;METESEH AREA (1);-7.064034,110.46
FSK058;METESEH AREA (2);-7.065777,110.459628
FOT031;KEJAMBON AREA (1);-6.876989,109.141925
FOT032;KEJAMBON AREA (2);-6.878998,109.141644
FOT020;GRIYA MEJASEM BARU (8);-6.872286,109.151886
FWS168;JAGALAN AREA (3);-6.978533,110.429851
FSK043;PUDAK PAYUNG AREA (4);-7.094694,110.416316
FSK051;PUDAK PAYUNG AREA (7);-7.096062,110.412575
FWS169;TAWANGSARI AREA (1);-6.979841,110.387271
FWS170;TAWANGSARI AREA (2);-6.98245,110.385693
FOT033;MINTARAGEN AREA;-6.863215,109.135756
FSU034;PANGGUNG LOR AREA (8);-6.953691,110.40694
FOT036;GRIYA SATRIA DAMPYAK (1);-6.858759,109.161845
FOT037;GRIYA SATRIA DAMPYAK (2);-6.85797,109.162109
FBL062;GREEN SEMESTA;-7.013068,110.327859
FSK062;BANYUMANIK AREA (3);-7.077392,110.410347
FOT038;TEGAL RESIDENCE (1);-6.877745,109.119557
FOT039;TEGAL RESIDENCE (2);-6.880098,109.119168
FPD097;SENDANGMULYO AREA (17);-7.042905,110.482665
FWS078;BANGUNHARJO AREA;-6.975889,110.422819
FSK061;METESEH AREA (3);-7.0601888,110.4625212
FSK063;METESEH AREA (4);-7.055633,110.465977
FPD093;PENGGARON KIDUL AREA (1);-7.004927,110.4880267
FPD095;PENGGARON KIDUL AREA (3);-7.010132,110.487737
FPD096;PENGGARON KIDUL AREA (4);-7.011348,110.4901432
FPD094;PENGGARON KIDUL AREA (2);https://maps.google.com/maps?q=-7.005771,110.491555&ll=-7.005771,110.491555&z=16
FSK066;CORDOVA EDUPARK APT (1);-7.052134,110.430813
FSK067;CORDOVA EDUPARK APT (2);-7.052134,110.430813
FSK068;CORDOVA EDUPARK APT (3);-7.052134,110.430813
FPD091;TAMANSARI HILLS (1);-7.03774,110.460894
FPD000;MH3 SEMARANG (PDN OLT 01);-7.013652,110.479854
FSK000;MH4 SEMARANG (BYK OLT 01);-7.075317,110.418464
FUN000;MH5 SEMARANG (UGN OLT 01);-7.152545,110.407801
FBL000;MH 2 NGALIYAN SEMARANG;-6.998887,110.343499
FSU000;MH 6 PANGGUNG LOR SEMARANG;-6.966755,110.412502
FOT024;RANDUGUNTING AREA (1);-6.874069,109.13125
FSK064;PEDALANGAN AREA (7);-7.0583,110.426443
FSK070;PEDALANGAN AREA (9);-7.059963,110.422598
FSK031;PADANGSARI AREA (3);-7.071833,110.42769
FWS171;TEGALSARI AREA (4);-7.006141,110.422674
FBL065;TAMAN PURI BANJARAN (1);-7.005468,110.326973
FPD085;PENGGARON REGENCY;-7.003925,110.487772
FSK069;PEDALANGAN AREA (8);-7.057601,110.433792
FOT042;PEKAUMAN AREA (1);-6.863114,109.131886
FOT043;PEKAUMAN AREA (2);-6.865746,109.1309
FSU035;PLOMBOKAN AREA (4);-6.976699,110.406826
FPD079;PERUM INTAN SAMBIROTO;-7.030823,110.459246
FGA001;PERUM GEDANG ASRI 1 & 2 (1);-7.145308,110.417449
FGA003;GRIYA UNGARAN RESIDENCE (1);-7.142391,110.419554
FOT025;RANDUGUNTING AREA (2);-6.877139,109.132557
FBL063;WATES AREA (1);-7.019483,110.336725
FBL069;GRIYA INDO PERMAI (1);-6.983305,110.328697
FBL064;WATES AREA (2);-7.015274,110.334211
FSK071;PAYUNG ASRI REGENCY (1);-7.091108,110.4136591
FOT030;RANDUGUNTING AREA (4);-6.873634,109.134535
FOT044;PEKAUMAN AREA (3);-6.866228,109.131895
FOT045;PERUM MUARAREJA;-6.851219,109.117531
FOT026;RANDUGUNTING AREA (3);-6.87867,109.132778
FOT035;RANDUGUNTING AREA (6);-6.872051,109.133474
FWS172;CANDI AREA (1);-7.009942,110.4287001
